Composition,Conductivity (S/cm),Temperature (degC),PO2 (%),PH2O (%),Grainsize,Ref,Carrier Type
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,30.72226239,350.9761388,20,0,,https://doi.org/10.1016/j.apenergy.2019.01.094,H+E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,32.29171688,375.9219089,20,0,,https://doi.org/10.1016/j.apenergy.2019.01.094,H+E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,33.12043063,400.867679,20,0,,https://doi.org/10.1016/j.apenergy.2019.01.094,H+E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,32.00490078,424.7288503,20,0,,https://doi.org/10.1016/j.apenergy.2019.01.094,H+E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,31.44472564,449.6746204,20,0,,https://doi.org/10.1016/j.apenergy.2019.01.094,H+E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,30.51418012,474.6203905,20,0,,https://doi.org/10.1016/j.apenergy.2019.01.094,E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,29.21306339,500.6507592,20,0,,https://doi.org/10.1016/j.apenergy.2019.01.094,E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,27.91234836,524.5119306,20,0,,https://doi.org/10.1016/j.apenergy.2019.01.094,E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,27.16678718,550.5422993,20,0,,https://doi.org/10.1016/j.apenergy.2019.01.094,E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,26.32903511,574.4034707,20,0,,https://doi.org/10.1016/j.apenergy.2019.01.094,E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,24.84273319,600.4338395,20,0,,https://doi.org/10.1016/j.apenergy.2019.01.094,E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,24.09737286,625.3796095,20,0,,https://doi.org/10.1016/j.apenergy.2019.01.094,E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,23.16682735,650.3253796,20,0,,https://doi.org/10.1016/j.apenergy.2019.01.094,E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,22.79163654,676.3557484,20,0,,https://doi.org/10.1016/j.apenergy.2019.01.094,E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,22.23166225,700.2169197,20,0,,https://doi.org/10.1016/j.apenergy.2019.01.094,E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,21.39350848,726.2472885,20,0,,https://doi.org/10.1016/j.apenergy.2019.01.094,E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,21.29649715,750.1084599,20,0,,https://doi.org/10.1016/j.apenergy.2019.01.094,E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,20.73632201,775.0542299,20,0,,https://doi.org/10.1016/j.apenergy.2019.01.094,E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,19.34281353,800,20,0,,https://doi.org/10.1016/j.apenergy.2019.01.094,E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,23.87985057,300,20,3,,https://doi.org/10.1016/j.apenergy.2019.01.094,H+E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,25.63388768,328.1995662,20,3,,https://doi.org/10.1016/j.apenergy.2019.01.094,H+E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,26.46320398,349.8915401,20,3,,https://doi.org/10.1016/j.apenergy.2019.01.094,H+E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,27.38451032,374.8373102,20,3,,https://doi.org/10.1016/j.apenergy.2019.01.094,H+E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,28.49100185,399.7830803,20,3,,https://doi.org/10.1016/j.apenergy.2019.01.094,H+E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,28.67156745,424.7288503,20,3,,https://doi.org/10.1016/j.apenergy.2019.01.094,H+E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,29.03731823,449.6746204,20,3,,https://doi.org/10.1016/j.apenergy.2019.01.094,E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,28.2919579,474.6203905,20,3,,https://doi.org/10.1016/j.apenergy.2019.01.094,E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,27.17602635,500.6507592,20,3,,https://doi.org/10.1016/j.apenergy.2019.01.094,E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,26.05989395,527.7657267,20,3,,https://doi.org/10.1016/j.apenergy.2019.01.094,E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,25.59331566,547.2885033,20,3,,https://doi.org/10.1016/j.apenergy.2019.01.094,E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,24.56977585,574.4034707,20,3,,https://doi.org/10.1016/j.apenergy.2019.01.094,E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,23.54643689,600.4338395,20,3,,https://doi.org/10.1016/j.apenergy.2019.01.094,E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,22.89366916,625.3796095,20,3,,https://doi.org/10.1016/j.apenergy.2019.01.094,E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,21.96312364,650.3253796,20,3,,https://doi.org/10.1016/j.apenergy.2019.01.094,E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,21.03217643,677.4403471,20,3,,https://doi.org/10.1016/j.apenergy.2019.01.094,E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,20.93536595,700.2169197,20,3,,https://doi.org/10.1016/j.apenergy.2019.01.094,E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,20.65296859,725.1626898,20,3,,https://doi.org/10.1016/j.apenergy.2019.01.094,E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,20.18538604,750.1084599,20,3,,https://doi.org/10.1016/j.apenergy.2019.01.094,E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,19.16204708,776.1388286,20,3,,https://doi.org/10.1016/j.apenergy.2019.01.094,E
(BaO)0.5(SrO)0.5(Sc2O3)0.0875(NbO2)0.025(CoO2)0.8,18.4168876,800,20,3,,https://doi.org/10.1016/j.apenergy.2019.01.094,E
(La2O3)0.26125(SrO)0.4275(Mn2O3)0.25(Cr2O3)0.25(Ti2O3)0.25,4,950,1E-16,0,,https://doi.org/10.1016/j.ssi.2013.01.005,E
(CeO2)0.1(La2O3)0.325(SrO)0.25(Cr2O3)0.25(Mn2O3)0.25,0.830062026,789.5368464,0,3,0.5,https://doi.org/10.1016/j.ssi.2011.02.004,H+E
(CeO2)0.1(La2O3)0.325(SrO)0.25(Cr2O3)0.25(Mn2O3)0.25,0.398421273,685.2430166,0,3,0.5,https://doi.org/10.1016/j.ssi.2011.02.004,H+E
(CeO2)0.1(La2O3)0.325(SrO)0.25(Cr2O3)0.25(Mn2O3)0.25,0.205951983,599.5282091,0,3,0.5,https://doi.org/10.1016/j.ssi.2011.02.004,H+E
(CeO2)0.1(La2O3)0.325(SrO)0.25(Cr2O3)0.25(Mn2O3)0.25,0.091999764,504.6044605,0,3,0.5,https://doi.org/10.1016/j.ssi.2011.02.004,H+E
(CeO2)0.1(La2O3)0.325(SrO)0.25(Cr2O3)0.25(Mn2O3)0.25,0.035475451,406.0320243,0,3,0.5,https://doi.org/10.1016/j.ssi.2011.02.004,H+E
(CeO2)0.1(La2O3)0.325(SrO)0.25(Cr2O3)0.25(Mn2O3)0.25,0.008464346,306.850026,0,3,0.5,https://doi.org/10.1016/j.ssi.2011.02.004,H+E
(CeO2)0.1(La2O3)0.325(SrO)0.25(Cr2O3)0.25(Mn2O3)0.25,0.730360555,810.960396,0,3,0.5,https://doi.org/10.1016/j.ssi.2011.02.004,H+E
(CeO2)0.1(La2O3)0.325(SrO)0.25(Cr2O3)0.25(Mn2O3)0.25,0.386807062,709.2357797,0,3,0.5,https://doi.org/10.1016/j.ssi.2011.02.004,H+E
(CeO2)0.1(La2O3)0.325(SrO)0.25(Cr2O3)0.25(Mn2O3)0.25,0.206500656,609.9744334,0,3,0.5,https://doi.org/10.1016/j.ssi.2011.02.004,H+E
(CeO2)0.1(La2O3)0.325(SrO)0.25(Cr2O3)0.25(Mn2O3)0.25,0.091593723,509,0,3,0.5,https://doi.org/10.1016/j.ssi.2011.02.004,H+E
(CeO2)0.1(La2O3)0.325(SrO)0.25(Cr2O3)0.25(Mn2O3)0.25,0.031523465,410.4384169,0,3,0.5,https://doi.org/10.1016/j.ssi.2011.02.004,H+E
(CeO2)0.1(La2O3)0.325(SrO)0.25(Cr2O3)0.25(Mn2O3)0.25,0.007429796,311.3920145,0,3,0.5,https://doi.org/10.1016/j.ssi.2011.02.004,H+E
(CeO2)0.25(La2O3)0.25(SrO)0.25(Cr2O3)0.25(Mn2O3)0.25,1.060995274,917.5176164,0,3,0.5,https://doi.org/10.1016/j.ssi.2011.02.004,H+E
(CeO2)0.25(La2O3)0.25(SrO)0.25(Cr2O3)0.25(Mn2O3)0.25,0.559457686,810.5312747,0,3,0.5,https://doi.org/10.1016/j.ssi.2011.02.004,H+E
(CeO2)0.25(La2O3)0.25(SrO)0.25(Cr2O3)0.25(Mn2O3)0.25,0.31866493,702.9315386,0,3,0.5,https://doi.org/10.1016/j.ssi.2011.02.004,H+E
(CeO2)0.25(La2O3)0.25(SrO)0.25(Cr2O3)0.25(Mn2O3)0.25,0.1376563,614.4837873,0,3,0.5,https://doi.org/10.1016/j.ssi.2011.02.004,H+E
(CeO2)0.25(La2O3)0.25(SrO)0.25(Cr2O3)0.25(Mn2O3)0.25,0.061093349,512.5349071,0,3,0.5,https://doi.org/10.1016/j.ssi.2011.02.004,H+E
(CeO2)0.25(La2O3)0.25(SrO)0.25(Cr2O3)0.25(Mn2O3)0.25,0.018491269,410.0972734,0,3,0.5,https://doi.org/10.1016/j.ssi.2011.02.004,H+E
(CeO2)0.25(La2O3)0.25(SrO)0.25(Cr2O3)0.25(Mn2O3)0.25,0.004373954,308.9998937,0,3,0.5,https://doi.org/10.1016/j.ssi.2011.02.004,H+E
(CeO2)0.375(La2O3)0.1875(SrO)0.25(Cr2O3)0.25(Mn2O3)0.25,0.754662645,925.8611476,0,3,0.5,https://doi.org/10.1016/j.ssi.2011.02.004,H+E
(CeO2)0.375(La2O3)0.1875(SrO)0.25(Cr2O3)0.25(Mn2O3)0.25,0.598011819,810.6385232,0,3,0.5,https://doi.org/10.1016/j.ssi.2011.02.004,H+E
(CeO2)0.375(La2O3)0.1875(SrO)0.25(Cr2O3)0.25(Mn2O3)0.25,0.195333861,600.185516,0,3,0.5,https://doi.org/10.1016/j.ssi.2011.02.004,H+E
(CeO2)0.375(La2O3)0.1875(SrO)0.25(Cr2O3)0.25(Mn2O3)0.25,0.086530829,501.3121862,0,3,0.5,https://doi.org/10.1016/j.ssi.2011.02.004,H+E
(CeO2)0.375(La2O3)0.1875(SrO)0.25(Cr2O3)0.25(Mn2O3)0.25,0.033697086,410.4810838,0,3,0.5,https://doi.org/10.1016/j.ssi.2011.02.004,H+E
(CeO2)0.375(La2O3)0.1875(SrO)0.25(Cr2O3)0.25(Mn2O3)0.25,0.008614971,302.9680135,0,3,0.5,https://doi.org/10.1016/j.ssi.2011.02.004,H+E
(La2O3)0.36(YbO)0.08(SrO)0.2(Ga2O3)0.4(MgO)0.2,0.117205276,951.1484912,1.00E-03,0,,https://doi.org/10.1016/0167-2738(95)00054-A,O
(La2O3)0.36(YbO)0.08(SrO)0.2(Ga2O3)0.4(MgO)0.2,0.093404996,902.8790615,1.00E-03,0,,https://doi.org/10.1016/0167-2738(95)00054-A,O
